MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode,error
15.632597923278809,3.2687244415283203,3.953808069229126,4634.38720703125,151.98486328125,0.054797,0.003538944,2.7255725860595703,0.0,success,SparseTSF,Environment,96,96,baseline,3,baseline,
16.070240020751953,3.3197436332702637,4.00877046585083,4675.37158203125,153.73512268066406,0.059981,0.007077888,35.897955894470215,0.0,success,SparseTSF,Environment,96,192,baseline,3,baseline,
,,,,,,,,,error,SparseTSF,Environment,96,96,report,3,report,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
,,,,,,,,,error,SparseTSF,Environment,96,192,report,3,report,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
,,,,,,,,,error,SparseTSF,Environment,96,96,search,3,search,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
,,,,,,,,,error,SparseTSF,Environment,96,192,search,3,search,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
,,,,,,,,,error,SparseTSF,Environment,96,96,both_concat,3,both_concat,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
,,,,,,,,,error,SparseTSF,Environment,96,192,both_concat,3,both_concat,linear(): input and weight.T shapes cannot be multiplied (64x128 and 768x64)
