MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode
15.647826,3.2699232,3.9557333,4457.3896,152.02672,0.013837,0.003538944,2.719101905822754,0.0,success,SparseTSF,Environment,96,96,baseline,3,baseline
15.991347,3.3119295,3.9989183,4561.774,153.73462,0.019021,0.007077888,37.75167942047119,0.0,success,SparseTSF,Environment,96,192,baseline,3,baseline
15.38367,3.2449236,3.922202,5620.967,150.29066,0.013837,0.003538944,2.8253984451293945,0.0,success,SparseTSF,Environment,96,96,report,3,report
15.8155775,3.3007224,3.9768803,5839.825,151.98785,0.019021,0.007077888,40.96302032470703,0.0,success,SparseTSF,Environment,96,192,report,3,report
15.38367,3.2449236,3.922202,5620.967,150.29066,0.013837,0.003538944,2.7361011505126953,0.0,success,SparseTSF,Environment,96,96,search,3,search
15.8155775,3.3007224,3.9768803,5839.825,151.98785,0.019021,0.007077888,49.90756034851074,0.0,success,SparseTSF,Environment,96,192,search,3,search
15.38367,3.2449236,3.922202,5620.967,150.29066,0.013837,0.003538944,2.475719451904297,0.0,success,SparseTSF,Environment,96,96,both_concat,3,both_concat
15.8155775,3.3007224,3.9768803,5839.825,151.98785,0.019021,0.007077888,50.81929683685303,0.0,success,SparseTSF,Environment,96,192,both_concat,3,both_concat
