MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode
0.59527856,0.61341536,0.77154297,4224.7217,120.09827,0.013837,0.003538944,2.466859817504883,0.0,success,SparseTSF,Environment,96,96,baseline,3,baseline
0.6431689,0.654133,0.8019781,4024.131,117.39769,0.019021,0.007077888,27.516818046569824,0.0,success,SparseTSF,Environment,96,192,baseline,3,baseline
0.6465495,0.6447333,0.80408305,4591.151,121.50807,0.013837,0.003538944,2.8212356567382812,0.0,success,SparseTSF,Environment,96,96,report,3,report
0.65642583,0.650166,0.8102011,4650.7754,121.36105,0.019021,0.007077888,30.487680435180664,0.0,success,SparseTSF,Environment,96,192,report,3,report
0.62557805,0.63074553,0.7909349,4297.112,118.453636,0.013837,0.003538944,2.7814769744873047,0.0,success,SparseTSF,Environment,96,96,search,3,search
0.63529146,0.63754195,0.7970517,4313.9062,120.60306,0.019021,0.007077888,31.449055671691895,0.0,success,SparseTSF,Environment,96,192,search,3,search
0.62379795,0.629436,0.7898088,4387.5454,118.81786,0.013837,0.003538944,2.887401580810547,0.0,success,SparseTSF,Environment,96,96,both_concat,3,both_concat
0.64400285,0.6441686,0.80249786,4449.2383,121.319176,0.019021,0.007077888,40.72108268737793,0.0,success,SparseTSF,Environment,96,192,both_concat,3,both_concat
