MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode
15.647826,3.2699232,3.9557333,4457.3896,152.02672,0.013837,0.003538944,2.7172183990478516,0.0,success,SparseTSF,Environment,96,96,baseline,3,baseline
15.991347,3.3119295,3.9989183,4561.774,153.73462,0.019021,0.007077888,37.16221809387207,0.0,success,SparseTSF,Environment,96,192,baseline,3,baseline
15.397341,3.2473564,3.9239445,5720.1035,150.22766,0.013837,0.003538944,2.8601455688476562,0.0,success,SparseTSF,Environment,96,96,report,3,report
15.78617,3.2992394,3.9731812,6164.201,151.54448,0.019021,0.007077888,49.38593864440918,0.0,success,SparseTSF,Environment,96,192,report,3,report
15.397341,3.2473564,3.9239445,5720.1035,150.22766,0.013837,0.003538944,2.6897621154785156,0.0,success,SparseTSF,Environment,96,96,search,3,search
15.78617,3.2992394,3.9731812,6164.201,151.54448,0.019021,0.007077888,48.94744396209717,0.0,success,SparseTSF,Environment,96,192,search,3,search
15.397341,3.2473564,3.9239445,5720.1035,150.22766,0.013837,0.003538944,2.8329038619995117,0.0,success,SparseTSF,Environment,96,96,both_concat,3,both_concat
15.78617,3.2992394,3.9731812,6164.201,151.54448,0.019021,0.007077888,49.864678382873535,0.0,success,SparseTSF,Environment,96,192,both_concat,3,both_concat
