model,dataset,Params(M),FLOPs(G)
DLinear,ETTm2,0.018624,0.008257536
DLinear,Weather,0.018624,0.024772608
DLinear,Electricity,0.018624,0.094666752
PatchTST,ETTm2,10.056288,51.328842912
PatchTST,Weather,6.903904,102.971512192
PatchTST,Electricity,6.903904,393.498064448
TimesNet,ETTm2,1.191943,73.37312256
TimesNet,Weather,1.193749,75.373674496
TimesNet,Electricity,150.304769,2332.681961472
Mamba,ETTm2,0.23744,1.522929248
Mamba,Weather,0.244608,1.56696944
Mamba,Electricity,0.398208,0.62767036
