MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,line
0.10327777,0.22121857,0.3213686,149.86172,62.862682,59.399377,6.531481336,1.500166473388672,1014.517578125,success,KANiTransformer,ETTm2,96,96,2
0.131426602602005,0.2536040246486664,0.3625280857086181,172.7501678466797,68.13909912109375,59.497873,6.575521528,1.5462445068359374,1016.8818359375,success,KANiTransformer,ETTm2,96,192,2
0.1638508588075637,0.2804009914398193,0.4047849476337433,200.44308471679688,72.11116027832031,59.645617,6.641581816,1.523675537109375,1018.837890625,success,KANiTransformer,ETTm2,96,336,2
0.2109293192625045,0.3191805183887481,0.4592704176902771,231.80567932128903,76.46864318847656,60.039601,6.817742584,1.5419584655761718,1026.7626953125,success,KANiTransformer,ETTm2,96,720,2
0.1562983691692352,0.1968731880187988,0.3953458964824676,1001.7603149414062,47.07963943481445,59.399405,19.613711008,1.6390470886230468,1098.94921875,success,KANiTransformer,Weather,96,96,2
0.2009530216455459,0.2371956706047058,0.4482778310775757,1207.605712890625,53.03827667236328,59.497901,19.745831584,1.6564877319335938,1099.697265625,success,KANiTransformer,Weather,96,192,2
0.2544158697128296,0.2785718739032745,0.5043965578079224,1477.6502685546875,58.45293426513672,59.645645,19.944012448,1.633169250488281,1112.41455078125,success,KANiTransformer,Weather,96,336,2
0.3120837211608886,0.318624347448349,0.5586445331573486,1758.68017578125,63.966705322265625,60.039629,20.472494752,1.6426463317871094,1122.83984375,success,KANiTransformer,Weather,96,720,2
0.1419277191162109,0.2337792217731475,0.3767329454421997,188.08062744140625,47.37585067749024,31.088453,44.217038336,1.7824607849121097,1028.8154296875,success,KANiTransformer,Electricity,96,96,2
0.1555352360010147,0.2465789765119552,0.3943795561790466,196.02047729492188,49.19315719604492,31.186949,44.72192768,1.7702540588378906,1034.09619140625,success,KANiTransformer,Electricity,96,192,2
0.1681689918041229,0.2613976299762726,0.4100841283798218,205.60031127929688,52.05305099487305,31.334693,45.479261696,1.7691571044921874,1037.80712890625,success,KANiTransformer,Electricity,96,336,2
0.1988153904676437,0.291017085313797,0.4458872079849243,235.18893432617188,56.441139221191406,31.728677,47.498819072,1.831171875,1102.3525390625,success,KANiTransformer,Electricity,96,720,2
0.1128842830657959,0.2383689135313034,0.3359825611114502,169.7839813232422,65.66949462890625,0.036783,0.00389543,0.2024831962585449,21.63232421875,success,LiteSparseNet,ETTm2,96,96,2
0.1448142081499099,0.2730568349361419,0.3805446326732635,204.98736572265625,70.81307220458984,0.073071,0.007704794,0.2051507186889648,26.9697265625,success,LiteSparseNet,ETTm2,96,192,2
0.1928619146347046,0.3059885501861572,0.4391604661941528,200.12774658203125,77.26661682128906,0.127503,0.01341804,0.20388032913208,32.0703125,success,LiteSparseNet,ETTm2,96,336,2
0.2438793629407882,0.353281170129776,0.4938414394855499,200.84591674804688,86.5967788696289,0.272655,0.028657496,0.2068313598632812,46.65283203125,success,LiteSparseNet,ETTm2,96,720,2
0.157315120100975,0.2338525354862213,0.3966296911239624,603.092041015625,68.15003967285156,0.110185,0.013260504,0.2648492813110351,28.3212890625,success,LiteSparseNet,Weather,96,96,2
