MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,line,error
0.10158139,0.22234051,0.31871834,142.4238,63.272316,0.018624,0.008257536,0.0930489635467529,18.6025390625,success,DLinear,ETTm2,96,96,1,
0.1257387548685073,0.2494146078824997,0.3545966148376465,153.8417510986328,68.51517486572266,0.037248,0.016515072,0.0948019218444824,20.47607421875,success,DLinear,ETTm2,96,192,1,
0.1535272598266601,0.2773748338222503,0.3918255567550659,169.91522216796875,72.76353454589844,0.065184,0.028901376,0.0923276805877685,21.6953125,success,DLinear,ETTm2,96,336,1,
0.1960538327693939,0.3145668506622314,0.4427796602249145,193.90936279296875,77.16240692138672,0.13968,0.06193152,0.0988409614562988,26.21435546875,success,DLinear,ETTm2,96,720,1,
0.185777261853218,0.2445641309022903,0.4310188591480255,746.4575805664062,56.72976303100586,0.018624,0.024772608,0.0925964832305908,22.587890625,success,DLinear,Weather,96,96,1,
0.2264709174633026,0.2872496247291565,0.4758895933628082,862.58984375,65.01750183105469,0.037248,0.049545216,0.0938745594024658,23.04833984375,success,DLinear,Weather,96,192,1,
0.271399438381195,0.3247510194778442,0.5209600925445557,1001.5684814453124,72.21389770507812,0.065184,0.086704128,0.0935385608673095,31.40869140625,success,DLinear,Weather,96,336,1,
0.3239684700965881,0.3675621747970581,0.569182276725769,1134.45849609375,80.9176254272461,0.13968,0.18579456,0.09274751663208,44.1630859375,success,DLinear,Weather,96,720,1,
0.1955976337194442,0.2758430540561676,0.442264199256897,195.4725646972656,53.549903869628906,0.018624,0.094666752,0.0934681606292724,40.98828125,success,DLinear,Electricity,96,96,1,
0.1897628158330917,0.2755718529224396,0.4356177449226379,200.2812347412109,53.60116195678711,0.037248,0.189333504,0.0911200046539306,51.296875,success,DLinear,Electricity,96,192,1,
0.2003293186426162,0.2900423109531402,0.4475816190242767,214.81417846679688,55.93900680541992,0.065184,0.331333632,0.0925977611541748,66.33935546875,success,DLinear,Electricity,96,336,1,
0.2325403690338134,0.3228435218334198,0.4822244048118591,248.67108154296875,60.838157653808594,0.13968,0.71000064,0.0923788833618164,103.8583984375,success,DLinear,Electricity,96,720,1,
0.0993171259760856,0.2197639048099517,0.3151462078094482,150.343017578125,62.98854446411133,10.056288,51.328842912,2.449384307861328,2620.53759765625,success,PatchTST,ETTm2,96,96,1,
0.1271658837795257,0.2522690296173095,0.3566032648086548,176.64569091796875,68.1202392578125,10.646208,51.593084064,2.4403865051269533,2632.6748046875,success,PatchTST,ETTm2,96,192,1,
0.1537400931119918,0.2745333015918731,0.3920970559120178,197.1531524658203,71.56089782714844,11.531088,51.989445792,2.435617980957032,2644.79052734375,success,PatchTST,ETTm2,96,336,1,
0.2029699087142944,0.3144296109676361,0.4505218267440796,233.17218017578125,76.29737091064453,13.890768,53.0464104,2.4384614562988283,2684.2021484375,success,PatchTST,ETTm2,96,720,1,
0.1624660193920135,0.2011052370071411,0.4030707478523254,721.6089477539062,47.73458099365234,6.903904,102.971512192,4.590006408691406,6829.35888671875,success,PatchTST,Weather,96,96,1,
0.2049121558666229,0.2392160594463348,0.4526722431182861,998.024658203125,53.72941970825195,7.493824,103.764235648,4.574037170410156,6840.3642578125,success,PatchTST,Weather,96,192,1,
0.2566366791725158,0.2779044210910797,0.5065932273864746,1389.211181640625,58.74488830566406,8.378704,104.953320832,4.585065002441406,6859.5810546875,success,PatchTST,Weather,96,336,1,
0.3188469409942627,0.3203605115413666,0.5646653175354004,1551.9456787109375,64.54718780517578,10.738384,108.124214656,4.620622863769532,6900.19384765625,success,PatchTST,Weather,96,720,1,
0.1617612987756729,0.2515535652637481,0.4021956026554107,185.2840270996093,50.264774322509766,6.903904,393.498064448,20.221904296875,25738.90771484375,success,PatchTST,Electricity,96,96,1,
0.16902457177639,0.2615958750247955,0.4111259877681732,188.5876007080078,51.82930374145508,7.493824,396.527400512,20.24840576171875,25754.44140625,success,PatchTST,Electricity,96,192,1,
0.18270243704319,0.2750579714775085,0.4274370670318603,208.58218383789065,53.79525375366211,8.378704,401.071404608,20.329959716796875,25777.15576171875,success,PatchTST,Electricity,96,336,1,
0.2223147600889206,0.3129531741142273,0.4715026617050171,240.1402740478516,59.223182678222656,10.738384,413.188748864,20.4594091796875,25837.9453125,success,PatchTST,Electricity,96,720,1,
0.1043005809187889,0.2248661816120147,0.3229559957981109,152.8004913330078,65.11970520019531,1.191943,73.37312256,5.409574584960938,164.3427734375,success,TimesNet,ETTm2,96,96,1,
0.1298029124736786,0.2507645487785339,0.3602817058563232,172.36782836914062,68.27962493896484,1.201255,110.05722624,5.59615478515625,208.27294921875,success,TimesNet,ETTm2,96,192,1,
0.1635130643844604,0.2811112999916076,0.4043674767017364,198.86575317382807,72.53339385986328,1.215223,168.344715264,6.7689697265625,258.615234375,success,TimesNet,ETTm2,96,336,1,
0.2149373888969421,0.3230353593826294,0.4636133909225464,234.46128845214844,77.49272918701172,1.252471,312.38209536,9.2960400390625,445.99755859375,success,TimesNet,ETTm2,96,720,1,
0.1602232754230499,0.2079376578330993,0.4002789855003357,385.0469970703125,49.30266571044922,1.193749,75.373674496,5.45677734375,155.74609375,success,TimesNet,Weather,96,96,1,
0.2160416096448898,0.2543615996837616,0.4648027718067169,688.9149780273438,55.40131378173828,1.203061,108.124438528,5.5412060546875,207.53271484375,success,TimesNet,Weather,96,192,1,
0.2730620801448822,0.2914129793643951,0.5225534439086914,1053.0677490234375,59.87187576293945,1.217029,166.266109952,6.8101348876953125,264.55810546875,success,TimesNet,Weather,96,336,1,
0.3304765522480011,0.3315940797328949,0.5748708844184875,1289.208984375,64.60286712646484,1.254277,323.959619584,9.479678344726562,478.2197265625,success,TimesNet,Weather,96,720,1,
0.1734268516302108,0.2735972702503204,0.4164454936981201,222.1410522460937,53.61268615722656,150.304769,2332.681961472,39.51718994140625,3793.69775390625,success,TimesNet,Electricity,96,96,1,
0.1807145476341247,0.2812357544898987,0.425105333328247,223.76080322265625,55.134613037109375,150.314081,3537.21909248,41.02513671875,4132.76416015625,success,TimesNet,Electricity,96,192,1,
0.1936414092779159,0.2926212251186371,0.4400470554828644,238.0269470214844,56.440223693847656,150.328049,5183.282282496,67.7719970703125,4443.12939453125,success,TimesNet,Electricity,96,336,1,
0.2269381582736969,0.3176909387111664,0.4763802587985992,264.65557861328125,59.06966400146485,150.365297,10230.548856832,125.86181640625,4105.51904296875,success,TimesNet,Electricity,96,720,1,
0.1107724756002426,0.233530655503273,0.3328250050544739,151.63558959960938,66.38533782958984,0.23744,1.522929248,4.945217895507812,1035.05029296875,success,Mamba,ETTm2,96,96,1,
0.137632742524147,0.260184496641159,0.3709888756275177,174.3633575439453,70.82118225097656,0.256064,1.531186784,4.918351440429688,1036.904296875,success,Mamba,ETTm2,96,192,1,
0.1713596880435943,0.2923610508441925,0.4139561355113983,209.9747467041016,74.6456069946289,0.270032,1.537379936,4.971443176269531,1037.41845703125,success,Mamba,ETTm2,96,336,1,
0.2178190499544143,0.3298116028308868,0.4667108952999115,236.7009429931641,78.67411041259766,0.30728,1.553895008,4.960691833496094,1039.998046875,success,Mamba,ETTm2,96,720,1,
0.1871126890182495,0.2310476899147033,0.4325652420520782,595.3160400390625,52.27785873413086,0.244608,1.56696944,4.945777282714844,1037.81982421875,success,Mamba,Weather,96,96,1,
0.2314849346876144,0.2674973011016845,0.4811288118362427,991.2001342773438,57.17936325073242,0.263232,1.591742048,4.9461907958984375,1037.2958984375,success,Mamba,Weather,96,192,1,
0.2826731204986572,0.3018818795681,0.5316701531410217,1040.7547607421875,61.78733825683594,0.2772,1.610321504,4.941990966796875,1042.83837890625,success,Mamba,Weather,96,336,1,
0.3484323024749756,0.3459771871566772,0.5902815461158752,1132.1478271484375,66.3153076171875,0.314448,1.65986672,4.942608032226563,1051.5458984375,success,Mamba,Weather,96,720,1,
0.177034318447113,0.2746375501155853,0.420754462480545,210.21792602539065,53.91715240478516,0.398208,0.62767036,4.913487854003907,293.43310546875,success,Mamba,Electricity,96,96,1,
0.19611856341362,0.2980651557445526,0.4428527653217315,226.8879852294922,57.96010971069336,0.416832,0.722337112,4.9777658081054685,301.20751953125,success,Mamba,Electricity,96,192,1,
0.2075867056846618,0.3084636926651001,0.45561683177948,258.0133056640625,59.402130126953125,0.4308,0.793337176,4.976970825195313,307.36279296875,success,Mamba,Electricity,96,336,1,
0.22502407431602478,0.3239380121231079,0.47436702251434326,273.36529541015625,61.45330810546875,0.468048,0.98267068,4.922050476074219,332.287109375,success,Mamba,Electricity,96,720,1,
