MSE,MAE,RMSE,MAPE,SMAPE,Params(M),FLOPs(G),InferTime(ms),GPUMem(MB),status,model,dataset,seq_len,pred_len,label,line,text_mode
0.59527856,0.61341536,0.77154297,4224.7217,120.09827,0.013837,0.003538944,2.4909019470214844,0.0,success,SparseTSF,Environment,96,96,baseline,3,baseline
0.6431689,0.654133,0.8019781,4024.131,117.39769,0.019021,0.007077888,32.05062389373779,0.0,success,SparseTSF,Environment,96,192,baseline,3,baseline
0.5920023,0.61423105,0.76941687,4054.538,113.34402,0.013837,0.003538944,2.881803512573242,0.0,success,SparseTSF,Environment,96,96,report,3,report
0.63926053,0.65494233,0.7995377,4070.6816,124.28767,0.019021,0.007077888,26.91162109375,0.0,success,SparseTSF,Environment,96,192,report,3,report
0.5859646,0.60977477,0.76548326,4034.4653,113.19938,0.013837,0.003538944,2.45419979095459,0.0,success,SparseTSF,Environment,96,96,search,3,search
0.61807954,0.6377358,0.7861804,4048.2654,116.20553,0.019021,0.007077888,28.005118370056152,0.0,success,SparseTSF,Environment,96,192,search,3,search
0.5862449,0.6100573,0.7656663,4031.5999,113.21479,0.013837,0.003538944,2.510223388671875,0.0,success,SparseTSF,Environment,96,96,both_concat,3,both_concat
0.6190432,0.638402,0.786793,4041.5784,116.2486,0.019021,0.007077888,27.91029453277588,0.0,success,SparseTSF,Environment,96,192,both_concat,3,both_concat
